"","pond","year","doy","chl_rfu","chl_ugl","pc_rfu","pc_ugl","do_sat","do_mgl","pH","temp_C","stormnum","t0","timesincestormstart","risestarttime","riseendtime","risetime","riseoverdoy","pre_chl_rfu","pre_chl_ugl","pre_pc_rfu","pre_pc_ugl"
"1","Strickers",2022,145,22.2955,90.1421393110517,3.941,3.84498267583588,136.2,13.3465,10.0175,16.25755,1,145,0,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"2","Strickers",2022,146,18.773,76.1563995195346,3.7015,3.60196747585491,110.345,10.9615,9.6435,15.6453,1,145,1,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"3","Strickers",2022,147,16.585,67.4691607221352,3.2285,3.12202513935805,114.77,10.891,9.4995,17.8397,1,145,2,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"4","Strickers",2022,148,23.171,93.6182259505047,4.3945,4.30513880607125,147.405,13.876,9.7095,18.2203,1,145,3,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"5","Strickers",2022,149,36.291,145.709895521748,6.7815,6.72717338792752,159.555,14.66,9.837,19.4046,1,145,4,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"6","Strickers",2022,150,46.082,184.584098019617,9.151,9.13145111801065,147.595,13.2195,9.948,20.70245,1,145,5,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"7","Strickers",2022,151,59.294,237.041044542122,12.1105,12.1343884221596,143.685,12.277,10.077,23.1444,1,145,6,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"8","Strickers",2022,152,60.0715,240.128031820448,13.9915,14.0429963184611,147.94,12.6395,10.012,23.12935,1,145,7,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"9","Strickers",2022,153,69.9085,279.184872793948,17.639,17.7440315666055,161.255,13.8725,10.0185,22.7952,1,145,8,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"10","Strickers",2022,154,79.3575,316.701197929518,21.1865,21.343599090332,166.615,14.331,10.0225,22.78005,1,145,9,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"11","Strickers",2022,155,86.1095,343.509349830816,24.1925,24.3937188863354,158.385,13.8325,10.035,21.95375,1,145,10,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"12","Strickers",2022,156,76.557,305.582088125077,27.1525,27.3971635291064,116.205,10.6125,9.603,19.72735,1,145,11,2022-05-25 10:30:00,2022-05-26 20:15:00,33.75,147,22.2955,90.1421393110517,3.941,3.84498267583588
"13","Strickers",2022,156,76.557,305.582088125077,27.1525,27.3971635291064,116.205,10.6125,9.603,19.72735,2,156,0,2022-06-05 05:30:00,2022-06-06 04:15:00,22.75,158,76.557,305.582088125077,27.1525,27.3971635291064
"14","Strickers",2022,157,74.2425,296.392593519692,26.93,27.1713978422765,140.085,12.5465,9.7555,20.70355,2,156,1,2022-06-05 05:30:00,2022-06-06 04:15:00,22.75,158,76.557,305.582088125077,27.1525,27.3971635291064
"15","Strickers",2022,158,74.6165,297.877523734604,29.598,29.8785567297472,122.1,11.134,9.503,19.7915,2,156,2,2022-06-05 05:30:00,2022-06-06 04:15:00,22.75,158,76.557,305.582088125077,27.1525,27.3971635291064
"16","Strickers",2022,159,72.7375,290.417139045247,30.6,30.895263328415,109.265,9.7925,9.3315,20.6376,2,156,3,2022-06-05 05:30:00,2022-06-06 04:15:00,22.75,158,76.557,305.582088125077,27.1525,27.3971635291064
